ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
136,eAACiKYOqAo,https://www.youtube.com/watch?v=eAACiKYOqAo,"Novas perspectivas para as cadeias produtivas agroalimentares agroecológicas - Sergio Schneider","Rede Aurora",auto,pt,"downloads/redeauroraater/#136 - Novas perspectivas para as cadeias produtivas agroalimentares agroecológicas - Sergio Schneider {Rede Aurora}.txt"
137,QYvvV9S6v2M,https://www.youtube.com/watch?v=QYvvV9S6v2M,"Projeto Mulheres do Café (Paraná) - Cíntia Mara Lopes de Souza","Rede Aurora",auto,pt,"downloads/redeauroraater/#137 - Projeto Mulheres do Café (Paraná) - Cíntia Mara Lopes de Souza {Rede Aurora}.txt"
138,wyZzvnAsdHg,https://www.youtube.com/watch?v=wyZzvnAsdHg,"Reflexões e experiências sobre Ater Digital desenvolvidas pela Emater (DF) - Renato Lopes","Rede Aurora",auto,pt,"downloads/redeauroraater/#138 - Reflexões e experiências sobre Ater Digital desenvolvidas pela Emater (DF) - Renato Lopes {Rede Aurora}.txt"
139,J0I-vCJ9T_U,https://www.youtube.com/watch?v=J0I-vCJ9T_U,"Tecnologia da Informação na Extensão Rural #redeaurora","Rede Aurora",auto,pt,"downloads/redeauroraater/#139 - Tecnologia da Informação na Extensão Rural #redeaurora {Rede Aurora}.txt"
140,zeKHpk682Rk,https://www.youtube.com/watch?v=zeKHpk682Rk,"Tecnologias digitais na produção rural  #extensãorural #redeaurora #extensionistarural #tecnologia","Rede Aurora",auto,pt,"downloads/redeauroraater/#140 - Tecnologias digitais na produção rural #extensãorural #redeaurora #extensionistarural #tecnologia {Rede Aurora}.txt"
141,3ckDoub3So0,https://www.youtube.com/watch?v=3ckDoub3So0,"Desafios da comunicação no campo em Luxemburgo #extensãorural #redeaurora #diálogos #oextensionista","Rede Aurora",auto,pt,"downloads/redeauroraater/#141 - Desafios da comunicação no campo em Luxemburgo #extensãorural #redeaurora #diálogos #oextensionista {Rede Aurora}.txt"
142,x6I5ejFyNOo,https://www.youtube.com/watch?v=x6I5ejFyNOo,"Reconhecimento do diploma EU  #extensãorural #luxembourg  #diploma #veterinaria  #redeaurora","Rede Aurora",auto,pt,"downloads/redeauroraater/#142 - Reconhecimento do diploma EU #extensãorural #luxembourg #diploma #veterinaria #redeaurora {Rede Aurora}.txt"
143,2kEWNx_8-Wg,https://www.youtube.com/watch?v=2kEWNx_8-Wg,"Latifúndio em Moçambique #extensãorural #redeaurora #aterdigital #diálogos #ater #oextensionista","Rede Aurora",auto,pt,"downloads/redeauroraater/#143 - Latifúndio em Moçambique #extensãorural #redeaurora #aterdigital #diálogos #ater #oextensionista {Rede Aurora}.txt"
144,D5J_pqInIqI,https://www.youtube.com/watch?v=D5J_pqInIqI,"Criando o ZAP Rural #aterdigital  #extensãorural #redeaurora #diálogos #oextensionista","Rede Aurora",auto,pt,"downloads/redeauroraater/#144 - Criando o ZAP Rural #aterdigital #extensãorural #redeaurora #diálogos #oextensionista {Rede Aurora}.txt"
145,1-mBM_280zY,https://www.youtube.com/watch?v=1-mBM_280zY,"WhatsApp ferramenta de comunicação #extensãorural #redeaurora #extensionistarural #aterdigital","Rede Aurora",auto,pt,"downloads/redeauroraater/#145 - WhatsApp ferramenta de comunicação #extensãorural #redeaurora #extensionistarural #aterdigital {Rede Aurora}.txt"
