ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
287,fXQFv0a2R5c,https://www.youtube.com/watch?v=fXQFv0a2R5c,"Perspectivas digitais para a ATER: digitalização, letramento digital, autodeclaração e p. públicas","Mário Lucio de Avila - Programa de Pós-Graduação em Meio Ambiente e Desenvolvimento Rural (MADER-UnB)",auto,pt,"downloads/oextensionista/#287 - Perspectivas digitais para a ATER- digitalização, letramento digital, autodeclaração e p. públicas {Mário Lucio de Avila - Programa de Pós-Graduação em Meio Ambiente e Desenvolvimento Rural (MADER-UnB)}.txt"
288,XNX_R6ytU4w,https://www.youtube.com/watch?v=XNX_R6ytU4w,"Carta pública das professoras e professores de Extensão Rural","O Extensionista",auto,pt,"downloads/oextensionista/#288 - Carta pública das professoras e professores de Extensão Rural {O Extensionista}.txt"
289,t_n8pASu_CI,https://www.youtube.com/watch?v=t_n8pASu_CI,"Carta pública das professoras e professores de Extensão Rural - parte 1","O Extensionista",auto,pt,"downloads/oextensionista/#289 - Carta pública das professoras e professores de Extensão Rural - parte 1 {O Extensionista}.txt"
290,91ptUTY2-fw,https://www.youtube.com/watch?v=91ptUTY2-fw,"Painel do III SNEER - Extensãp Rural - Santa Maria","O Extensionista",auto,pt,"downloads/oextensionista/#290 - Painel do III SNEER - Extensãp Rural - Santa Maria {O Extensionista}.txt"
291,a4P4kS3DyOk,https://www.youtube.com/watch?v=a4P4kS3DyOk,"Painel do III Seminário Nacional em Ensino de Extensão Rural - Santa Maria, RS","O Extensionista",auto,pt,"downloads/oextensionista/#291 - Painel do III Seminário Nacional em Ensino de Extensão Rural - Santa Maria, RS {O Extensionista}.txt"
292,t-0rt7Ru3lc,https://www.youtube.com/watch?v=t-0rt7Ru3lc,"O coperativismo gaúcho do ramo agropecuário e na trajetória da Coopatrigo","O Extensionista",auto,pt,"downloads/oextensionista/#292 - O coperativismo gaúcho do ramo agropecuário e na trajetória da Coopatrigo {O Extensionista}.txt"
293,LFeCZO0vJCo,https://www.youtube.com/watch?v=LFeCZO0vJCo,"Painel do III Seminário Nacional em Ensino de Extensão Rural - Politécnico da UFSM, Santa Maria, RS","O Extensionista",auto,pt,"downloads/oextensionista/#293 - Painel do III Seminário Nacional em Ensino de Extensão Rural - Politécnico da UFSM, Santa Maria, RS {O Extensionista}.txt"
294,f6npaM2aeAA,https://www.youtube.com/watch?v=f6npaM2aeAA,"III Seminário Nacional de Ensino em Extensão Rural - PARTE 1","O Extensionista",auto,pt,"downloads/oextensionista/#294 - III Seminário Nacional de Ensino em Extensão Rural - PARTE 1 {O Extensionista}.txt"
295,OEVGwgTbf5w,https://www.youtube.com/watch?v=OEVGwgTbf5w,"Como a inovação em processos pode impulsionar o Cooperativismo","O Extensionista",auto,pt,"downloads/oextensionista/#295 - Como a inovação em processos pode impulsionar o Cooperativismo {O Extensionista}.txt"
296,KQVhR7_OfAE,https://www.youtube.com/watch?v=KQVhR7_OfAE,"Semeando mensagens, colhendo diálogos: a comunicação rural","Gabriel Arroyo - Universidade de Araraquara",auto,pt,"downloads/oextensionista/#296 - Semeando mensagens, colhendo diálogos- a comunicação rural {Gabriel Arroyo - Universidade de Araraquara}.txt"
